Symptom_CUI	Symptom_Name	Alias	Definition	External_Ids
C2363945	Paradoxical diarrhea	Paradoxical diarrhea|Paradoxical diarrhoea		
C2130153	Dorsal right hand pain over metacarpal	dorsal right hand pain over metacarpal|dorsal right hand pain over metacarpal (symptom)		
C0232197	Fibrillation	Cardiac fibrillation|Cardiac fibrillation NOS|Cardiac fibrillation, NOS|FIBRILLATION|FIBRILLATION CARDIAC|FIBRILLATION CARDIAC NOS|Fibrillated|Fibrillation|Fibrillation (Heart)|Fibrillation (disorder)|Fibrillation cardiac|Fibrillation cardiac NOS|Fibrillation, NOS|Fibrillations|Heart Fibrillation|cardiac fibrillation|cardiac; fibrillation|fibrillate|fibrillating|fibrillation|fibrillation (diagnosis)|fibrillation; cardiac|fibrillation; heart|fibrillations|heart fibrillation|heart; fibrillation		OMIM2016_04_17:MTHU010471|SNOMEDCT_US_2016_09_01:40593004|SO:SYMP_0000898
C2016993	Soft tissue pain of fingers of left hand	soft tissue pain of fingers of left hand|soft tissue pain of fingers of left hand (symptom)		
C0476280	Chest pain musculoskeletal	CHEST PAIN MUSCULOSKELETAL|Musculoskeletal chest pain|Musculoskeletal chest pain (finding)|Pain;musculoskeletal;chest|[D]Musculoskeletal chest pain|[D]Musculoskeletal chest pain (context-dependent category)|[D]Musculoskeletal chest pain (situation)|chest musculoskeletal pains|musculoskeletal chest pain		SNOMEDCT_US_2016_09_01:158403003|SNOMEDCT_US_2016_09_01:207089002|SNOMEDCT_US_2016_09_01:281245003
C2144735	Tooth pain in posterior left upper jaw	tooth pain in posterior left upper jaw|tooth pain in posterior left upper jaw (symptom)		
C2231982	Skin crust of shoulder	skin crust of shoulder|skin crust of shoulder (symptom)		
C4028074	Pelvic pain radiating to penis	pelvic pain radiating to penis|pelvic pain radiating to penis (symptom)		
C2032420	Limb pain right hand	Pain in right hand|Pain in right hand (diagnosis)|Pain in right hand (finding)|limb pain right hand|pain in right hand only|pain in right hand only (symptom)|right hand pain		ICD10CM_2017:M79.641|SNOMEDCT_US_2016_09_01:316911000119109
C0856078	Enuresis aggravated	Enuresis aggravated		
C2108865	Joint pain in little toe	joint pain in little toe|joint pain in little toe (symptom)		
C0751407	Migratory pain	Migratory Pain|Migratory Pains|Pain, Migratory|Pains, Migratory		MSH2017_2016_08_12:D010146
C2367594	Fainting followed by event	fainting followed by event|fainting followed by event (symptom)		
C2045681	Change in urinary habits	change in urinary habits|change in urinary habits (symptom)|changes in urinary habits		
C2029727	Headache lasting for a few minutes or less	headache lasting for a few minutes or less|headache lasting several minutes or less|headache lasting several minutes or less (symptom)		
C1971679	Left iliac fossa pain (& c/o)	Left iliac fossa pain (& C/O)|Left iliac fossa pain (& C/O) (finding)		SNOMEDCT_US_2016_09_01:139324007|SNOMEDCT_US_2016_09_01:270957000
C2128585	Unable to straighten either wrist	unable to straighten either wrist|unable to straighten either wrist (symptom)		
C2203208	Wheezing worse in morning	wheezing worse in morning|wheezing worse in morning (symptom)		
C2017792	Soreness or pain on roof of mouth	roof of mouth soreness/pain|soreness or pain on roof of mouth|soreness or pain on roof of mouth (symptom)		
C0476275	Abnormal amount of sputum	Abnormal amount of sputum|Sputum abnormal - amount|Sputum abnormal - amount (finding)|[D]Sputum abnormal - amount|[D]Sputum abnormal - amount (context-dependent category)|[D]Sputum abnormal - amount (situation)		ICD10CM_2017:R09.3|SNOMEDCT_US_2016_09_01:158389002|SNOMEDCT_US_2016_09_01:207073000|SNOMEDCT_US_2016_09_01:271826006
C2128913	Increase in size of joint of ring finger of right hand	increase in size of joint of ring finger of right hand|increase in size of joint of ring finger of right hand (symptom)		
C2187164	Localized edema of right retina	localized edema of right retina|localized edema of right retina (diagnosis)		
C2129408	Weakness in limb causing difficulty lifting above waist level	weakness in limb causing difficulty lifting above waist level|weakness in limb causing difficulty lifting above waist level (symptom)		
C2127670	Both shoulder joints feel like they may slip out of place	both shoulder joints feel like they may slip out of place|both shoulder joints feel like they may slip out of place (symptom)		
C0277848	Hoover sign	Hoover sign|Hoover's sign|Hoover's sign (finding)		SNOMEDCT_US_2016_09_01:4367009
C2202275	Right knee joint pain in the patellofemoral region	right knee joint pain in the patellofemoral region|right knee pain behind kneecap|right knee pain behind kneecap (symptom)		
C3854672	Arrhythmic syncope	Arrhythmic syncope		
C2029403	Having fantasies	having fantasies|having fantasies (symptom)		
C2108841	Joint pain in left fourth toe	joint pain in left fourth toe|joint pain in left fourth toe (symptom)		
C2219685	Abdominal pain initiated or exacerbated by exertion	abdominal pain initiated or exacerbated by exertion|abdominal pain negatively influenced by exertion|abdominal pain negatively influenced by exertion (symptom)|abdominal pain started or intensified by exertion		
C2126180	Anal pain accompanied by bleeding	anal pain accompanied by bleeding|anal pain accompanied by bleeding (symptom)		
C2126955	Foggy vision for near objects	foggy vision for near objects|foggy vision for nearby objects|foggy vision for nearby objects (symptom)		
C0018681	Headache, cephalalgia	CEPHALALGIA|CEPHALGIA|Cephalalgia|Cephalalgias|Cephalgia|Cephalgias|Cephalodynia|Cephalodynias|Cranial Pain|Cranial Pains|HA|HA - Headache|HEAD ACHE|HEAD PAIN|HEAD PAIN CEPHALGIA|HEADACHE|Have headaches|Head Pain|Head Pains|Head pain|Headache|Headache (excluding N02 N89 R09)|Headache (finding)|Headache NOS|Headache [Disease/Finding]|Headache, NOS|Headaches|PAIN HEAD|Pain head|Pain in head|Pain in head NOS|Pain, Cranial|Pain, Head|Pain;head|Pains, Cranial|Pains, Head|[D]Headache|[D]Headache (context-dependent category)|[D]Headache (situation)|[D]Pain in head NOS|[D]Pain in head NOS (context-dependent category)|[D]Pain in head NOS (situation)|ache head|cephalalgia|cephalgia|cephalgias|cephalodynia|cranial pain|ha|head ache|head pain|head pained|head pains|head; pain|headache|headache (symptom)|headache, cephalalgia|headaches|pain in head|pain; head	CSP2006:pain in the cranial region that may occur as an isolated and benign symptom or as a manifestation of a wide variety of conditions.|HPO2016_07_04:Cephalgia, or pain sensed in various parts of the head, not confined to the area of distribution of any nerve. [HPO:probinson, pmid:15304572]|MEDLINEPLUS_20151021:<p>Almost everyone has had a headache. Headache is the most common form of pain. It's a major reason people miss days at work or school or visit the doctor.</p> <p>The most common type of headache is a tension headache. Tension headaches are due to tight muscles in your shoulders, neck, scalp and jaw. They are often related to stress, depression or anxiety. You are more likely to get tension headaches if you work too much, don't get enough sleep, miss meals, or use alcohol.</p> <p>Other common types of headaches include <a href='https://www.nlm.nih.gov/medlineplus/migraine.html'>migraines</a>, cluster headaches, and sinus headaches. Most people can feel much better by making lifestyle changes, learning ways to relax and taking <a href='https://www.nlm.nih.gov/medlineplus/painrelievers.html'>pain relievers</a>.</p> <p>Not all headaches require a doctor's attention. But sometimes headaches warn of a more serious disorder. Let your health care provider know if you have sudden, severe headaches. Get medical help right away if you have a headache after a blow to your head, or if you have a headache along with a stiff neck, fever, confusion, loss of consciousness, or pain in the eye or ear.</p> <p >NIH: National Institute of Neurological Disorders and Stroke</p>|MSH2017_2016_08_12:The symptom of PAIN in the cranial region. It may be an isolated benign occurrence or manifestation of a wide variety of HEADACHE DISORDERS.|NCI2016_02D:Pain in various parts of the head, not confined to the area of distribution of any nerve.|NCI2016_CTCAE_1602D:A disorder characterized by a sensation of marked discomfort in various parts of the head, not confined to the area of distribution of any nerve.|NCI2016_NICHD_1602D:Head pain or discomfort.|	HPO2016_07_04:HP:0002315|ICD10CM_2017:R51|ICD9CM_2014:784.0|MSH2017_2016_08_12:D006261|OMIM2016_04_17:MTHU036348|OMIM2016_04_17:MTHU036635|SNOMEDCT_US_2016_09_01:139490008|SNOMEDCT_US_2016_09_01:158296002|SNOMEDCT_US_2016_09_01:158298001|SNOMEDCT_US_2016_09_01:162209005|SNOMEDCT_US_2016_09_01:206946005|SNOMEDCT_US_2016_09_01:206948006|SNOMEDCT_US_2016_09_01:25064002|SNOMEDCT_US_2016_09_01:271329006|SO:SYMP_0000504|CSSO:CSSO_000127
C2078976	Involuntary movements during sleep with vivid dream recall	involuntary movements during sleep with vivid dream recall|involuntary movements during sleep with vivid dream recall (symptom)		
C2017372	Soft tissue swelling of right little toe with red discoloration	soft tissue swelling R little toe w/ red discoloration|soft tissue swelling of right little toe with red discoloration|soft tissue swelling of right little toe with red discoloration (symptom)		
C2183411	Difficulty closing in the right eye	difficulty closing in the right eye|difficulty closing right eye|difficulty closing right eye (symptom)		
C2016984	Soft tissue pain at base of right second toe	soft tissue pain at base of right second toe|soft tissue pain at base of right second toe (symptom)		
C2127819	Joints of left little finger feel unstable	joints of left little finger feel unstable|joints of left little finger feel unstable (symptom)		
C2032424	Pain in right heel occurs at night	pain in right heel occurs at night|pain in right heel occurs at night (symptom)|right heel pain occuring at night		
C2032590	Medial plantar left forefoot pain	medial plantar left forefoot pain|pain on bottom of medial aspect of left forefoot|pain on bottom of medial aspect of left forefoot (symptom)		
C2032422	Medial right heel pain	medial right heel pain|pain in medial right heel|pain in medial right heel (symptom)		
C1540859	(stiff joint nec of the lower leg) or (knee stiff)	(Stiff joint NEC of the lower leg) or (knee stiff)|(Stiff joint NEC of the lower leg) or (knee stiff) (finding)		SNOMEDCT_US_2016_09_01:202507003
C2126111	Elbow joint swelling at tip	elbow joint swelling at tip|elbow joint swelling at tip (symptom)|olecranon process swelling		
C0547004	Regular intermenstrual bleeding	Intermenst. bleeding|Intermenstrual bleeding|Intermenstrual bleeding - regular|Intermenstrual bleeding - regular (finding)|Regular intermenstrual bleeding		ICD10CM_2017:N92.3|SNOMEDCT_US_2016_09_01:12281005|SNOMEDCT_US_2016_09_01:156046001|SNOMEDCT_US_2016_09_01:198422003|SNOMEDCT_US_2016_09_01:237132003|SNOMEDCT_US_2016_09_01:266674007
C2108713	Joint pain in both knees on back	joint pain in both knees on back|joint pain in both knees on back (symptom)|posterior bilateral knee joint pain		
C2128057	Pip joint of left little toe feels unstable	PIP joint of left little toe feels unstable|left little toe PIP joint feels unstable|proximal interphalangeal joint of left little toe feels unstable|proximal interphalangeal joint of left little toe feels unstable (symptom)|the left little toe PIP joint feels unstable		
C2219773	Numbness of right groin	numbness of right groin|numbness of right groin (symptom)		
C2116366	Tingling of right first and second toes	tingling of right first and second toes|tingling of right first and second toes (symptom)		
C2053835	Peripheral vision worsens during day	peripheral vision worsens during day|peripheral vision worsens during day (symptom)		
C0423619	Aching headache	Aching headache|Aching headache (finding)		SNOMEDCT_US_2016_09_01:139579000|SNOMEDCT_US_2016_09_01:162307009
C2130252	Abdominal pain decreasing in frequency	abdominal pain decreasing in frequency|abdominal pain decreasing in frequency (symptom)		
C2032402	Pain of back of right arm	pain of back of right arm|pain of back of right arm (symptom)|posterior right arm pain		
